list-none-m,1,1000,1,3000,3681465,1227,43
list-none-s,1,1000,1,3000,3620350,1206,40
list-none-m,2,1000,1,6000,20988529,3498,5254
list-none-s,2,1000,1,6000,16952010,2825,3752
list-none-m,4,1000,1,12000,79632559,6636,29496
list-none-s,4,1000,1,12000,52773221,4397,12669
list-none-m,8,1000,1,24000,407456033,16977,167544
list-none-s,8,1000,1,24000,416029599,17334,179178
list-none-m,12,1000,1,36000,925941179,25720,366406
list-none-s,12,1000,1,36000,641915775,17830,198238
list-none-m,16,1000,1,48000,1729643606,36034,682178
list-none-s,16,1000,1,48000,1295262083,26984,458664
list-none-m,24,1000,1,72000,4300814793,59733,1770589
list-none-s,24,1000,1,72000,2290807307,31816,700104
list-id-none,1,1,4,3,141894,47298,0
list-id-none,1,2,4,6,154891,25815,0
list-id-none,1,4,4,12,191707,15975,0
list-id-none,1,8,4,24,179726,7488,0
list-id-none,1,16,4,48,72673,1514,0
list-id-none,4,1,4,12,188620,15718,0
list-id-none,4,2,4,24,146682,6111,0
list-id-none,4,4,4,48,115655,2409,0
list-id-none,8,1,4,24,256575,10690,0
list-id-none,8,2,4,48,283448,5905,0
list-id-none,12,1,4,36,385926,10720,0
list-id-none,12,2,4,72,308415,4283,0
list-id-none,12,4,4,144,333253,2314,0
list-id-none,12,8,4,288,315334,1094,0
list-id-none,16,1,4,48,578712,12056,0
list-id-none,16,2,4,96,531340,5534,0
list-id-none,16,4,4,192,409363,2132,0
list-id-none,16,8,4,384,421162,1096,0
list-id-m,1,10,4,30,67305,2243,107
list-id-s,1,10,4,30,79923,2664,65
list-id-m,1,20,4,60,124100,2068,76
list-id-s,1,20,4,60,106128,1768,49
list-id-m,1,40,4,120,127926,1066,64
list-id-s,1,40,4,120,102848,857,46
list-id-m,1,80,4,240,205192,854,50
list-id-s,1,80,4,240,210273,876,41
list-id-m,4,10,4,120,207686,1730,1908
list-id-s,4,10,4,120,170988,1424,109
list-id-m,4,20,4,240,272003,1133,1693
list-id-s,4,20,4,240,222651,927,710
list-id-m,4,40,4,480,415195,864,1534
list-id-s,4,40,4,480,263367,548,899
list-id-m,4,80,4,960,805453,839,1961
list-id-s,4,80,4,960,644408,671,1385
list-id-m,8,10,4,240,357311,1488,3447
list-id-s,8,10,4,240,216731,903,503
list-id-m,8,20,4,480,436533,909,3021
list-id-s,8,20,4,480,328326,684,2178
list-id-m,8,40,4,960,821658,855,4693
list-id-s,8,40,4,960,669939,697,4078
list-id-m,8,80,4,1920,1837255,956,6864
list-id-s,8,80,4,1920,1637901,853,6013
list-id-m,12,10,4,360,432943,1202,5076
list-id-s,12,10,4,360,306753,852,175
list-id-m,12,20,4,720,652120,905,5752
list-id-s,12,20,4,720,459542,638,3612
list-id-m,12,40,4,1440,1245873,865,8379
list-id-s,12,40,4,1440,1015063,704,6903
list-id-m,12,80,4,2880,3119887,1083,13652
list-id-s,12,80,4,2880,2885935,1002,11799
list-id-m,16,10,4,480,470684,980,2460
list-id-s,16,10,4,480,390275,813,193
list-id-m,16,20,4,960,861503,897,9382
list-id-s,16,20,4,960,541424,563,2987
list-id-m,16,40,4,1920,1906121,992,15132
list-id-s,16,40,4,1920,1619618,843,11579
list-id-m,16,80,4,3840,4363892,1136,20305
list-id-s,16,80,4,3840,4818965,1254,22946
list-none-m,1,1000,4,3000,1322066,440,43
list-none-s,1,1000,4,3000,1283455,427,40
list-none-m,1,1000,8,3000,911975,303,45
list-none-s,1,1000,8,3000,1598243,532,40
list-none-m,1,1000,16,3000,854056,284,46
list-none-s,1,1000,16,3000,734416,244,40
list-none-m,4,1000,4,12000,21950563,1829,5745
list-none-s,4,1000,4,12000,30460376,2538,6826
list-none-m,4,1000,8,12000,13434176,1119,2980
list-none-s,4,1000,8,12000,17019692,1418,3332
list-none-m,4,1000,16,12000,9090770,757,1419
list-none-s,4,1000,16,12000,11608146,967,1260
list-none-m,8,1000,4,24000,62895103,2620,22138
list-none-s,8,1000,4,24000,56601999,2358,18830
list-none-m,8,1000,8,24000,35591234,1482,11737
list-none-s,8,1000,8,24000,29024828,1209,8985
list-none-m,8,1000,16,24000,17055936,710,3846
list-none-s,8,1000,16,24000,15979627,665,3358
list-none-m,12,1000,4,36000,146128279,4059,58563
list-none-s,12,1000,4,36000,115984998,3221,43585
list-none-m,12,1000,8,36000,71932069,1998,27253
list-none-s,12,1000,8,36000,60289588,1674,21956
list-none-m,12,1000,16,36000,31377624,871,8386
list-none-s,12,1000,16,36000,25423436,706,6702
