add-none,2,100,400,95000,237,0
add-none,2,1000,4000,107000,26,149
add-none,2,10000,40000,491000,12,210
add-none,2,100000,400000,4416000,11,84
add-none,4,100,800,125000,156,-55
add-none,4,1000,8000,246000,30,-68
add-none,4,10000,80000,946000,11,-210
add-none,4,100000,800000,8245000,10,-3062
add-none,8,100,1600,230000,143,-39
add-none,8,1000,16000,250000,15,-2087
add-none,8,10000,160000,1693000,10,-2548
add-none,8,100000,1600000,16379000,10,-12499
add-yield-none,2,10,40,107000,2675,0
add-yield-none,2,20,80,144000,1800,0
add-yield-none,2,40,160,249000,1556,-39
add-yield-none,2,80,320,188000,587,0
add-yield-none,2,100,400,173000,432,0
add-yield-none,2,1000,4000,476000,119,0
add-yield-none,2,10000,40000,3515000,87,0
add-yield-none,2,100000,400000,35429000,88,-241
add-yield-none,4,10,80,177000,2212,0
add-yield-none,4,20,160,191000,1193,1
add-yield-none,4,40,320,318000,993,0
add-yield-none,4,80,640,513000,801,3
add-yield-none,4,100,800,413000,516,-1
add-yield-none,4,1000,8000,729000,91,18
add-yield-none,4,10000,80000,13019000,162,-22
add-yield-none,4,100000,800000,71416000,89,-73
add-yield-none,8,10,160,441000,2756,0
add-yield-none,8,20,320,550000,1718,0
add-yield-none,8,40,640,841000,1314,9
add-yield-none,8,80,1280,1450000,1132,3
add-yield-none,8,100,1600,1811000,1131,0
add-yield-none,8,1000,16000,16476000,1029,-60
add-yield-none,8,10000,160000,170211000,1063,8
add-yield-none,8,100000,1600000,1679846000,1049,-489
add-yield-none,12,10,240,579000,2412,4
add-yield-none,12,20,480,818000,1704,4
add-yield-none,12,40,960,1269000,1321,6
add-yield-none,12,80,1920,2193000,1142,0
add-yield-none,12,100,2400,2676000,1115,9
add-yield-none,12,1000,24000,24634000,1026,-34
add-yield-none,12,10000,240000,248915000,1037,-58
add-yield-none,12,100000,2400000,2521062000,1050,-2101
add-yield-none,2,100,400,342000,855,0
add-none,2,100,400,118000,295,0
add-yield-none,2,1000,4000,415000,103,36
add-none,2,1000,4000,136000,34,0
add-yield-none,2,10000,40000,3473000,86,36
add-none,2,10000,40000,505000,12,753
add-yield-none,2,100000,400000,106235000,265,3517
add-none,2,100000,400000,4211000,10,-17442
add-yield-none,3,100,600,452000,753,0
add-none,3,100,600,120000,200,29
add-yield-none,3,1000,6000,514000,85,0
add-none,3,1000,6000,155000,25,93
add-yield-none,3,10000,60000,10278000,171,-815
add-none,3,10000,60000,729000,12,-7860
add-yield-none,3,100000,600000,405781000,676,-5884
add-none,3,100000,600000,5834000,9,-84179
add-yield-none,4,100,800,397000,496,23
add-none,4,100,800,155000,193,0
add-yield-none,4,1000,8000,1653000,206,-154
add-none,4,1000,8000,185000,23,-652
add-yield-none,4,10000,80000,13476000,168,-2821
add-none,4,10000,80000,843000,10,-6564
add-yield-none,4,100000,800000,603577000,754,-7803
add-none,4,100000,800000,8155000,10,-1848
add-yield-none,5,100,1000,721000,721,0
add-none,5,100,1000,167000,167,0
add-yield-none,5,1000,10000,5968000,596,63
add-none,5,1000,10000,221000,22,-194
add-yield-none,5,10000,100000,60045000,600,-597
add-none,5,10000,100000,1070000,10,-988
add-yield-none,5,100000,1000000,585536000,585,-1247
add-none,5,100000,1000000,9231000,9,-11501
add-yield-none,6,100,1200,1964000,1636,0
add-none,6,100,1200,161000,134,0
add-yield-none,6,1000,12000,12940000,1078,4
add-none,6,1000,12000,186000,15,-306
add-yield-none,6,10000,120000,101670000,847,-23
add-none,6,10000,120000,1224000,10,1187
add-yield-none,6,100000,1200000,995999000,829,136
add-none,6,100000,1200000,12748000,10,22793
add-yield-none,7,100,1400,1652000,1180,1
add-none,7,100,1400,226000,161,16
add-yield-none,7,1000,14000,14164000,1011,13
add-none,7,1000,14000,236000,16,-297
add-yield-none,7,10000,140000,137868000,984,-51
add-none,7,10000,140000,1388000,9,-2896
add-yield-none,7,100000,1400000,1418965000,1013,-1497
add-none,7,100000,1400000,14748000,10,-58329
add-yield-none,8,100,1600,1912000,1195,6
add-none,8,100,1600,252000,157,0
add-yield-none,8,1000,16000,17110000,1069,-28
add-none,8,1000,16000,227000,14,-204
add-yield-none,8,10000,160000,164444000,1027,-281
add-none,8,10000,160000,1816000,11,-6444
add-yield-none,8,100000,1600000,1779823000,1112,-2115
add-none,8,100000,1600000,17301000,10,30996
add-none,1,1,2,84000,42000,0
add-none,1,10,20,83000,4150,0
add-none,1,100,200,94000,470,0
