add-none,2,100,400,143296,358,0
add-none,2,1000,4000,145993,36,0
add-none,2,10000,40000,865824,21,-655
add-none,2,100000,400000,8094176,20,-4118
add-none,4,100,800,160035,200,0
add-none,4,1000,8000,258803,32,-683
add-none,4,10000,80000,2166735,27,-2514
add-none,4,100000,800000,20243552,25,-10350
add-none,8,100,1600,269960,168,69
add-none,8,1000,16000,576157,36,1139
add-none,8,10000,160000,5890525,36,1446
add-none,8,100000,1600000,54447845,34,-4732
add-yield-none,2,10,40,133702,3342,0
add-yield-none,2,20,80,133580,1669,0
add-yield-none,2,40,160,115301,720,5
add-yield-none,2,80,320,171992,537,69
add-yield-none,2,100,400,196032,490,0
add-yield-none,2,1000,4000,834848,208,3
add-yield-none,2,10000,40000,7149036,178,-157
add-yield-none,2,100000,400000,67701377,169,-1257
add-yield-none,4,10,80,168116,2101,0
add-yield-none,4,20,160,168634,1053,3
add-yield-none,4,40,320,188133,587,17
add-yield-none,4,80,640,231269,361,57
add-yield-none,4,100,800,165770,207,39
add-yield-none,4,1000,8000,980191,122,-178
add-yield-none,4,10000,80000,10224233,127,-2041
add-yield-none,4,100000,800000,90692836,113,-9249
add-yield-none,8,10,160,230752,1442,9
add-yield-none,8,20,320,1483866,4637,0
add-yield-none,8,40,640,301623,471,47
add-yield-none,8,80,1280,243570,190,-18
add-yield-none,8,100,1600,321914,201,8
add-yield-none,8,1000,16000,1823839,113,-28
add-yield-none,8,10000,160000,16038959,100,-771
add-yield-none,8,100000,1600000,164451867,102,-10879
add-yield-none,12,10,240,377194,1571,5
add-yield-none,12,20,480,340456,709,8
add-yield-none,12,40,960,337112,351,127
add-yield-none,12,80,1920,403005,209,219
add-yield-none,12,100,2400,439484,183,-116
add-yield-none,12,1000,24000,2470765,102,182
add-yield-none,12,10000,240000,23761776,99,-1259
add-yield-none,12,100000,2400000,222424106,92,-8659
add-yield-none,2,100,400,215217,538,37
add-none,2,100,400,66258,165,0
add-yield-none,2,1000,4000,808119,202,3
add-none,2,1000,4000,139260,34,-13
add-yield-none,2,10000,40000,7116231,177,-141
add-none,2,10000,40000,486006,12,2750
add-yield-none,2,100000,400000,71893773,179,-3261
add-none,2,100000,400000,6888553,17,-16642
add-yield-none,3,100,600,214660,357,62
add-none,3,100,600,116846,194,0
add-yield-none,3,1000,6000,793399,132,-72
add-none,3,1000,6000,183814,30,591
add-yield-none,3,10000,60000,7592725,126,-422
add-none,3,10000,60000,1448845,24,75
add-yield-none,3,100000,600000,71724259,119,-3842
add-none,3,100000,600000,13499931,22,-5497
add-yield-none,4,100,800,224647,280,78
add-none,4,100,800,153505,191,0
add-yield-none,4,1000,8000,1741111,217,-399
add-none,4,1000,8000,174522,21,520
add-yield-none,4,10000,80000,9634020,120,-1697
add-none,4,10000,80000,1977337,24,-3869
add-yield-none,4,100000,800000,106707334,133,-41320
add-none,4,100000,800000,19017254,23,-15544
add-yield-none,5,100,1000,284158,284,10
add-none,5,100,1000,187769,187,0
add-yield-none,5,1000,10000,1272811,127,-161
add-none,5,1000,10000,281003,28,153
add-yield-none,5,10000,100000,11395884,113,-4126
add-none,5,10000,100000,2797168,27,-3629
add-yield-none,5,100000,1000000,104534428,104,-10913
add-none,5,100000,1000000,30591439,30,-1138
add-yield-none,6,100,1200,313606,261,57
add-none,6,100,1200,226934,189,3
add-yield-none,6,1000,12000,1491291,124,-54
add-none,6,1000,12000,348395,29,-284
add-yield-none,6,10000,120000,12578306,104,-139
add-none,6,10000,120000,4048897,33,-2197
add-yield-none,6,100000,1200000,129809742,108,-8360
add-none,6,100000,1200000,36654229,30,-21749
add-yield-none,7,100,1400,276695,197,-25
add-none,7,100,1400,213619,152,0
add-yield-none,7,1000,14000,1626354,116,-91
add-none,7,1000,14000,295334,21,476
add-yield-none,7,10000,140000,14753908,105,-728
add-none,7,10000,140000,4674576,33,2464
add-yield-none,7,100000,1400000,146303717,104,-16246
add-none,7,100000,1400000,45778283,32,-1640
